,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령
1079,2013년 8월 31일 19시,토요일,서울특별시 중랑구 중화동,부상신고사고,0,0,0,1,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,자전거,여,8세,부상신고,자전거,남,13세
1080,2013년 9월 1일 02시,일요일,서울특별시 구로구 개봉동,중상사고,0,1,3,0,차대차 - 측면직각충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,43세,상해없음,승용,남,46세
1081,2013년 9월 1일 10시,일요일,서울특별시 관악구 봉천동,경상사고,0,0,3,0,차대차 - 추돌 - 진행중,안전운전불이행,포장 - 건조,맑음,기타 - 기타,승용,남,54세,상해없음,승용,여,41세
1082,2013년 9월 1일 15시,일요일,서울특별시 중랑구 신내동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,58세,상해없음,보행자,남,7세
1083,2013년 9월 1일 16시,일요일,서울특별시 강서구 염창동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,48세,상해없음,보행자,남,4세
1084,2013년 9월 2일 08시,월요일,서울특별시 강북구 번동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,61세,상해없음,보행자,여,12세
1085,2013년 9월 2일 08시,월요일,서울특별시 강동구 상일동,중상사고,0,1,0,0,차대사람 - 기타,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,여,34세,상해없음,보행자,남,7세
1086,2013년 9월 2일 13시,월요일,서울특별시 강서구 화곡동,중상사고,0,1,0,0,차대사람 - 보도통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,45세,상해없음,보행자,여,7세
1088,2013년 9월 2일 16시,월요일,서울특별시 관악구 신림동,경상사고,0,0,1,0,차대사람 - 기타,기타,포장 - 건조,맑음,단일로 - 기타,승합,남,58세,상해없음,보행자,남,11세
1089,2013년 9월 2일 17시,월요일,서울특별시 동대문구 제기동,중상사고,0,1,1,0,차대차 - 측면직각충돌,신호위반,포장 - 건조,맑음,단일로 - 횡단보도상,원동기,남,25세,상해없음,자전거,여,27세
